,Model,Dataset,Preprocessing,Obtained Window Size,Obtained Stride,NIDS Performance,,,Surrogate Model #1 (Simple MLP),,,,Surrogate Model #2 (Complex MLP),,,,Surrogate Model #3 (LSTM),,,,FGSM - BCE,,,,FGSM - L0,,,,PGD - BCE,,,,PGD - logit,,,,PGD - CW,,,,PGD - KL divergence,,,,CorrShift attack,,,,Total Execution Time
NIDS 14,Decision Tree - AT,BATADAL,"Window of 4, statistical feature extraction",4,1,0.6708,0.118,0.5916,0.5617,0.1359,0.6979,0.7254,0.711,0.1554,0.4792,0.5453,0.5694,0.1455,0.75,0.7563,0.2808,0.1206,0.951,0.049,0.2264,0.1093,0.9114,0.0886,0.2585,0.1187,0.965,0.035,0.2489,0.1167,0.958,0.042,0.236,0.1081,0.8858,0.1142,0.2412,0.1154,0.9557,0.0443,0.2631,0.0538,0.3706,0.6294,35.17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
